Details,Posting Date,Description,Amount,Category
DEBIT,01/01/2025,NYTIMES DIGITAL LLC,-16.44,Subscription
DEBIT,01/01/2025,H AND M LLC,-125.85,Shopping
DEBIT,01/01/2025,PAYPAL *REI OUTDOOR,-22.48,Shopping
DEBIT,01/01/2025,GRUBHUB,-10.11,Dining
DEBIT,01/01/2025,IKEA HOME,-79.52,Shopping
DEBIT,01/01/2025,TICKETMASTER EVENTS #72293,-12.39,Entertainment
DEBIT,01/01/2025,SQ *RITE AID PHARMACY,-316.46,Healthcare
DEBIT,01/01/2025,LULULEMON LLC,-16.50,Shopping
DEBIT,01/01/2025,CHEVRON GAS LLC,-68.55,Transport
DEBIT,01/01/2025,FOODS CO #2318,-88.96,Grocery
DEBIT,01/01/2025,IN-N-OUT BURGER #65189,-5.39,Dining
DEBIT,01/01/2025,BAYVIEW GRILL,-33.57,Dining
DEBIT,01/02/2025,RECOLOGY WASTE,-124.46,Utilities
DEBIT,01/02/2025,PY *SHAKE SHACK #9867,-11.60,Dining
DEBIT,01/02/2025,TST* SWEETGREEN SALADS STORE 84487,-11.24,Dining
DEBIT,01/03/2025,GITHUB,-25.63,Subscription
DEBIT,01/03/2025,TRADER JOES STORE 20585,-18.31,Grocery
DEBIT,01/03/2025,PY *LUCKY SUPERMARKET.COM,-38.66,Grocery
DEBIT,01/03/2025,SQ *UBER TRIP INC,-61.43,Transport
DEBIT,01/03/2025,CHIPOTLE,-8.52,Dining
DEBIT,01/03/2025,CKCD AMAZON PRIME MEMBERSHIP,-18.08,Subscription
DEBIT,01/03/2025,TST* AMC THEATRES LLC,-16.80,Entertainment
DEBIT,01/03/2025,SPOTIFY,-14.96,Subscription
DEBIT,01/03/2025,LULULEMON,-136.47,Shopping
DEBIT,01/03/2025,WHOLE FOODS MARKET BERKELEY CA,-196.62,Grocery
DEBIT,01/03/2025,SQ *ONE MEDICAL CLINIC INC,-384.87,Healthcare
DEBIT,01/03/2025,PY *YOUTUBE PREMIUM LLC,-6.40,Subscription
DEBIT,01/03/2025,TST* AT&T WIRELESS STORE 47667,-130.87,Utilities
DEBIT,01/04/2025,ETSY SHOP STORE 88326,-19.07,Shopping
DEBIT,01/04/2025,POS DEBIT PEETS COFFEE,-46.04,Dining
DEBIT,01/04/2025,CKCD ADOBE CREATIVE LLC,-29.93,Subscription
DEBIT,01/04/2025,CKCD DISNEY PLUS INC,-27.49,Subscription
DEBIT,01/04/2025,PY *GOLDEN GATE GRILL,-28.19,Dining
DEBIT,01/04/2025,NIJIYA MARKET INC,-152.74,Grocery
DEBIT,01/04/2025,SMART FINAL FOODS INC,-204.95,Grocery
DEBIT,01/04/2025,VERIZON WIRELESS STORE 56440,-103.55,Utilities
DEBIT,01/04/2025,SQ *EQUITY RESIDENTIAL RENT,-2562.39,Housing
DEBIT,01/05/2025,OLD NAVY LLC,-376.25,Shopping
DEBIT,01/05/2025,OPENAI CHATGPT #90949,-18.83,Subscription
DEBIT,01/05/2025,HULU,-7.08,Subscription
DEBIT,01/05/2025,GROCERY OUTLET.COM,-74.85,Grocery
DEBIT,01/05/2025,POS DEBIT H MART INC,-103.51,Grocery
DEBIT,01/05/2025,CHIPOTLE.COM,-33.68,Dining
DEBIT,01/06/2025,NETFLIX LLC,-5.01,Subscription
DEBIT,01/06/2025,quest diagnostics lab #27786,-131.01,Healthcare
DEBIT,01/06/2025,HOME DEPOT,-27.02,Shopping
DEBIT,01/06/2025,SQ *WALGREENS PHARMACY,-178.85,Healthcare
DEBIT,01/06/2025,GROCERY OUTLET LLC,-27.89,Grocery
DEBIT,01/07/2025,T-MOBILE WIRELESS SAN JOSE CA,-125.12,Utilities
DEBIT,01/07/2025,ICLOUD STORAGE #50258,-13.60,Subscription
DEBIT,01/07/2025,99 RANCH MARKET #78627,-23.40,Grocery
DEBIT,01/07/2025,SQ *H AND M #14186,-162.59,Shopping
DEBIT,01/08/2025,POS DEBIT BLUE BOTTLE COFFEE,-11.74,Dining
DEBIT,01/08/2025,VERVE COFFEE MOUNTAIN VIEW CA,-6.39,Dining
DEBIT,01/08/2025,SQ *LUCKY SUPERMARKET,-42.48,Grocery
DEBIT,01/08/2025,SUSHI HOUSE,-64.52,Dining
DEBIT,01/08/2025,SUTTER HEALTH OAKLAND CA,-464.22,Healthcare
DEBIT,01/08/2025,76 GAS STATION,-65.75,Transport
DEBIT,01/08/2025,SEPHORA BEAUTY.COM,-44.34,Shopping
DEBIT,01/08/2025,GOLDEN GATE GRILL INC,-9.63,Dining
DEBIT,01/08/2025,ETSY SHOP INC,-53.58,Shopping
DEBIT,01/08/2025,SHAKE SHACK,-14.28,Dining
DEBIT,01/08/2025,py *home depot.com,-434.46,Shopping
DEBIT,01/08/2025,SHELL GAS OAKLAND CA,-48.06,Transport
DEBIT,01/08/2025,CHIPOTLE SAN JOSE CA,-51.22,Dining
DEBIT,01/08/2025,NIKE,-97.23,Shopping
DEBIT,01/08/2025,PG&E PAYMENT.COM,-51.73,Utilities
DEBIT,01/09/2025,CVS PHARMACY,-71.50,Healthcare
DEBIT,01/09/2025,PARKING METER,-34.45,Transport
DEBIT,01/09/2025,WALGREENS PHARMACY #90875,-84.46,Healthcare
DEBIT,01/09/2025,PAYPAL *PHILZ COFFEE,-34.18,Dining
DEBIT,01/09/2025,ZELLE TRANSFER,-1640.04,Transfer
DEBIT,01/10/2025,TST* OLD NAVY,-60.98,Shopping
DEBIT,01/10/2025,SQ *JOE'S CAFE LLC,-25.31,Dining
DEBIT,01/10/2025,CKCD OLD NAVY OAKLAND CA,-29.29,Shopping
DEBIT,01/10/2025,UBER EATS,-19.77,Dining
DEBIT,01/10/2025,FOODS CO,-163.66,Grocery
DEBIT,01/10/2025,AMAZON LLC,-6.36,Subscription
DEBIT,01/11/2025,GREEN VALLEY GROCERY #13085,-89.15,Grocery
DEBIT,01/11/2025,SQ *APPLE STORE BERKELEY CA,-23.68,Shopping
DEBIT,01/11/2025,LUCKY SUPERMARKET.COM,-49.51,Grocery
DEBIT,01/12/2025,PY *GOLDEN GATE GRILL,-13.86,Dining
DEBIT,01/12/2025,PY *GREEN VALLEY GROCERY #83875,-36.06,Grocery
DEBIT,01/13/2025,ALASKA AIRLINES INC,-480.63,Travel
DEBIT,01/13/2025,hyatt hotels inc,-772.87,Travel
DEBIT,01/13/2025,HOME DEPOT STORE 78833,-224.80,Shopping
DEBIT,01/13/2025,valvoline oil san francisco ca,-79.44,Transport
DEBIT,01/13/2025,JOE'S CAFE STORE 47488,-18.45,Dining
DEBIT,01/14/2025,TST* CHIPOTLE STORE 24890,-45.95,Dining
DEBIT,01/14/2025,AMAZON,-36.42,Shopping
DEBIT,01/14/2025,ckcd nordstrom #14359,-432.99,Shopping
DEBIT,01/14/2025,APPLE STORE,-42.76,Shopping
DEBIT,01/14/2025,POS DEBIT SUNRISE CAFE,-9.04,Dining
DEBIT,01/14/2025,POS DEBIT SUTTER HEALTH #64163,-25.13,Healthcare
DEBIT,01/15/2025,PY *FIVE GUYS BURGERS INC,-8.84,Dining
DEBIT,01/15/2025,PANDA EXPRESS INC,-63.62,Dining
DEBIT,01/15/2025,PAYPAL *APPLE STORE LLC,-294.30,Shopping
DEBIT,01/15/2025,SQ *SEPHORA BEAUTY,-316.53,Shopping
DEBIT,01/15/2025,GOLDEN GATE GRILL,-25.88,Dining
DEBIT,01/15/2025,DOORDASH PALO ALTO CA,-11.69,Dining
DEBIT,01/16/2025,TST* HOME DEPOT,-232.65,Shopping
DEBIT,01/16/2025,CHIPOTLE,-61.60,Dining
DEBIT,01/16/2025,H MART LLC,-94.50,Grocery
