Details,Posting Date,Description,Amount,Category
DEBIT,01/01/2025,ACH DEBIT GREYSTAR PROPERTY,-3000,Housing
DEBIT,01/02/2025,NIKE.COM,-60.96,Shopping
DEBIT,01/02/2025,OPENAI *CHATGPT,-20,Subscription
DEBIT,01/04/2025,SAFEWAY #1831,-90.1,Grocery
DEBIT,01/05/2025,DOORDASH INC CA,-29.75,Dining
DEBIT,01/05/2025,DOORDASH INC CA,-36.18,Dining
DEBIT,01/05/2025,Nintendo 800-2553700,-61.11,Entertainment
DEBIT,01/05/2025,PG&E PAYMENT,-105.41,Utilities
DEBIT,01/05/2025,SPOTIFY USA,-11.99,Entertainment
DEBIT,01/06/2025,AMC THEATRES,-16.6,Entertainment
DEBIT,01/06/2025,NIKE.COM,-155.17,Shopping
DEBIT,01/06/2025,SPOTIFY USA,-11.99,Entertainment
DEBIT,01/07/2025,APPLE STORE PALO ALTO,-138.05,Shopping
DEBIT,01/07/2025,NIKE.COM,-109.92,Shopping
DEBIT,01/07/2025,XFINITY INTERNET,-80,Utilities
DEBIT,01/08/2025,APPLE STORE PALO ALTO,-125.93,Shopping
DEBIT,01/09/2025,CHIPOTLE 1845 SAN JOSE CA,-16.12,Dining
DEBIT,01/09/2025,STARBUCKS STORE 10726,-5.22,Dining
DEBIT,01/09/2025,STARBUCKS STORE 12847,-8.78,Dining
DEBIT,01/10/2025,AT&T MOBILITY,-75,Utilities
DEBIT,01/10/2025,Amazon.com*8B0IP92E3,-53.42,Shopping
DEBIT,01/11/2025,Nintendo 800-2553700,-20.49,Entertainment
DEBIT,01/11/2025,STARBUCKS STORE 12847,-6.04,Dining
DEBIT,01/11/2025,TRADER JOE'S #123,-44.01,Grocery
DEBIT,01/11/2025,WHOLE FOODS MARKET,-47.85,Grocery
DEBIT,01/12/2025,DOORDASH INC CA,-17.75,Dining
DEBIT,01/12/2025,IN-N-OUT BURGER #52,-11.08,Dining
DEBIT,01/12/2025,UBER *TRIP SAN JOSE,-38.9,Transport
DEBIT,01/12/2025,WL *STEAM PURCHASE,-52.67,Entertainment
CREDIT,01/12/2025,UBER EATS REFUND,18.5,Dining
DEBIT,01/13/2025,H MART SAN JOSE,-101.5,Grocery
DEBIT,01/13/2025,NIKE.COM,-66.7,Shopping
DEBIT,01/14/2025,CHEVRON,-69.89,Transport
DEBIT,01/14/2025,KAISER PERMANENTE,-60.9,Healthcare
